year,inc_q,tenure,n,w_sum,mean_tc001,median_tc001,mean_hhtotinc,median_hhtotinc,mean_cy_ratio,mean_share_necessities,mean_share_shelter,mean_share_discretionary,mean_share_food,mean_share_health,mean_share_clothing,mean_share_transport,mean_shelter_over_inc,mean_mortpay_over_inc,mean_cy_ratio_at
2017,Q5,owner_mortgage,459,1603157.6726,110287.17101521169,102001.39000000001,183358.60494265522,170000,0.6169048559844504,0.48425418227924083,0.3305055171584952,0.5157458177207592,0.12329178723077548,0.030456877889970167,0.05156776026789933,0.1999785403914388,0.19579531083862906,0.114498601154617,0.7781690954369828
2017,Q5,owner_free_clear,296,1050189.1725,94195.58465444332,85336.14,187182.31591802806,177750,0.5156215456346513,0.36588944259413136,0.17732790400970555,0.6341105574058685,0.14254254502734304,0.04601899355708275,0.05814001199591788,0.23212929863657591,0.08920116664430057,NA,0.6531528139653867
2017,Q5,renter,88,236895.1926,90302.8845130684,84590.64,169132.52851128142,152575,0.568084632079323,0.4496857137278959,0.2704800865014844,0.5503142862721041,0.13884623355876477,0.04035939366764668,0.06076247373972962,0.1732770143844402,0.14647268140650604,NA,0.6940321520532374
2019,Q1,owner_mortgage,170,363817.2,55408.813409913,50075.03,23533.498136289323,25250,19.502649706027796,0.5688878878406559,0.3958751061353494,0.43111211215934403,0.12651394539736857,0.04649883630793798,0.03039482755879508,0.17802036195927537,4.873255031365286,2.1961671365362188,19.56341257920704
2019,Q1,owner_free_clear,517,762134.88,32811.723419475435,27043.26,23732.254182356806,24000,2.5495100079440123,0.5284217118275438,0.2947321402698393,0.47157828817245623,0.17502641460501991,0.058663156952684516,0.031182025708143202,0.167727697138291,0.8339425155090817,NA,2.583334796485284
2019,Q1,renter,755,1919993.12,32748.713229558914,26153.25,21095.96970951646,22000,12.69190637586054,0.6054912833301674,0.3936438242746427,0.39450871666983245,0.17244823886750257,0.03939922018802225,0.04332200223539567,0.10285145907171113,2.663034313409426,NA,12.724744856399214
2019,Q2,owner_mortgage,401,640392.8155,62695.48660365355,55791.93,50539.65440880247,51500,1.250985571463907,0.5792835783690092,0.3906977223567038,0.4207164216309907,0.14175706572000807,0.04682879029229738,0.03728174317934459,0.14942227624088592,0.47873200031855184,0.25072120081576377,1.3664880069884373
2019,Q2,owner_free_clear,628,969395.28,45226.56674599931,38976.92,48309.766041722425,48000,0.9455305851964105,0.5084279405096219,0.2413091933856716,0.49157205949037797,0.19463637983845064,0.0724823672854997,0.0368604056135896,0.1668581409706908,0.20471663802336737,NA,1.02640090853017
2019,Q2,renter,612,1267758.7701,46462.723033440496,40275.86,48602.48950830744,49000,0.9676350042897188,0.547425039921208,0.33355313046061874,0.452574960078792,0.1689780031904007,0.04489390627018851,0.04485527394285576,0.13898182781809465,0.2993681711238146,NA,1.0425948396795728
2019,Q3,owner_mortgage,649,1173487,74974.65256427179,67728.06,78379.86916408107,78000,0.9633008424387998,0.5262287305095389,0.34634368453043135,0.47377126949046117,0.14046635133208424,0.039418694647023245,0.04269778475100742,0.18378148878245332,0.31662716775250715,0.18062499568761659,1.1049648767128042
