year,province,n,w_sum,mean_nw,median_nw,mean_inc,mean_STK,mean_BND,mean_LIQ,mean_BUS,mean_HOUS,mean_DBT,debt_asset,mean_IG,mean_IT,mean_NIG,nig_over_inc
2012,BC,2041,1984441.3655,551489.1762209629,247500,60457.8036430903,63234.44187903123,29312.39019949918,70272.50942067282,48556.8234838664,432246.35315594316,116656.94085470236,0.1745979477741863,71268.15762088678,933.6694975589041,70334.48812332787,1.163364923716781
2012,MB,740,499484.2083,325199.4345931721,156725,56591.475389768595,37608.010003966454,18824.134680882704,55977.751003966354,50119.07164981155,200612.19682155867,61550.244223326736,0.1591474992601881,53361.66598998937,873.9605346103428,52487.70545537903,0.9274843091450572
2012,NB,627,330201.771,216107.37307363353,98500,53600.95917638188,23702.435580597503,15261.410711165647,40015.41719915283,30409.81106347064,132669.34064878925,46605.53681809447,0.17740101480853013,34788.6020352763,827.7770214467176,33960.825013829584,0.6335861435254632
2012,NL,482,224307.9939,223561.5558653993,115350,57969.75977073058,19402.14944619682,10277.409219612282,37647.54961678563,17298.46572781952,177029.1948436551,59455.46131186723,0.2100773370621299,23825.798860044062,895.2458279541597,22930.5530320899,0.39556060129936454
2012,NS,593,419014.1123,241066.45820914587,113050,53340.0834922249,29615.399591855978,19049.765904481115,35917.325497220314,25428.964938156572,169955.11316381025,61473.23371926297,0.20319064030054482,37441.73340814237,823.7482335272938,36617.985174615074,0.6865003347801787
2012,ON,2929,5445438.0282,432880.4322304546,180999,66828.15337860033,54962.959427439695,25239.887061165104,64648.717732360885,50842.517463381795,310327.2757815333,91515.55324456439,0.1745161209837751,65937.59524280271,1032.04887753011,64905.5463652726,0.97123058297847
2012,PE,272,61074.3166,194991.22909741735,111450,53133.74024614137,22214.588149999414,9608.85504485898,34584.201259095265,33488.155307886,132331.2978212678,53723.26388693476,0.21600375290681095,32951.37001164949,820.5616077604561,32130.80840388903,0.6047157278039053
2012,QC,2153,3577934.2128,332850.83024052123,120250,54960.02450624489,46838.908098092215,15851.372332913317,57985.330488190375,52190.73440084116,201080.00609450307,63056.44968056049,0.15927075069983523,57518.82235664387,848.7655087423183,56670.05684790154,1.0311141117024494
2012,SK,630,443641.304,438477.87531848974,192250,63697.134386443424,45267.23231052253,26224.364169171917,67069.11064970125,107339.65288251181,237375.0287225623,70339.38349804304,0.13824095444727383,89466.12856684164,983.6955343204842,88482.43303252115,1.389111674878623
2016,AB,1905,1723025.4295,575412.0323086807,201936,91551.25737421538,105392.30677731456,33111.16748066405,86442.85525339055,83216.7199495363,384585.78034769866,149160.67680067717,0.20586019170391462,111842.1605480599,1433.550160529005,110408.6103875309,1.2059759041455453
2016,BC,1733,2076982.0001,729279.0004499591,313500,66599.7170188644,70904.07612220883,36104.13812268168,95038.46555380114,60952.82728210048,578579.4659865967,135894.96574830692,0.15707241671343217,84620.26994982379,1042.8478839272482,83577.42206589655,1.2549215793548074
2016,MB,720,512722.8305,398247.28691178304,196175,67115.86682619451,44408.67919017357,21050.66237549249,76257.78067747559,62866.10555746045,257690.81030816317,89409.06928975927,0.18334441487892264,64368.6522668812,1050.929986351365,63317.722280529844,0.9434091411573291
