year,wealth_detail,n,mean_nw,mean_inc,mean_IG,mean_IT,mean_NIG,nig_over_inc,mean_ig_stk,mean_ig_bus,mean_ig_bnd,mean_ig_liq,mean_ig_dbt,debt_asset
2005,P60-80,951,249459.60404286857,57885.30567939801,28938.931597598406,1131.092179942264,27807.83941765614,0.48039548364263446,14356.904486547914,5516.095985433205,8003.503875258233,-408.3855598870232,1470.8128102460782,0.23179523460780924
2005,P80-90,509,472529.60517961066,68704.55414905124,65230.56275631977,1342.502782222845,63888.05997409693,0.929895561733722,35191.56403864611,11001.1430303623,18574.713474009786,-767.9187262455754,1231.060939547152,0.11764278589174983
2005,P90-95,323,763973.90347724594,80753.13060667407,138419.55457368834,1577.9347359924873,136841.61983769585,1.6945673661150444,71532.70480282942,29843.448642662635,37585.90827307928,-1417.9772398494592,875.4700949664408,0.05539654181638151
2005,P95-99,436,1554582.327972572,95785.8665239608,357019.69722312904,1871.6778516176314,355148.0193715114,3.7077288357846747,155172.2189285154,128925.10314852434,73761.69245997017,-2865.8159908980124,2026.4986770171456,0.06253970280658445
2005,P99-100,204,5518573.113531598,165437.4175625467,1706811.6505492383,3232.6851707624182,1703578.9653784756,10.297422375650937,342803.12169250427,1218697.180332085,143952.7220716288,-2754.0577448598924,4112.684197879887,0.036737821644644765
2012,P0-20,1645,-7260.477274596294,29353.44278532133,1032.6696870777955,453.3147505454786,579.354936532317,0.01973720564124195,445.3155646218575,39.92976672688106,225.44654406338347,-19.11632333640329,341.09413500207677,1.4897007346819646
2012,P20-40,2133,35997.32940482843,43596.605077537184,5876.990159427645,673.2765318157609,5203.7136276118845,0.11936052402146922,2984.541630599362,376.49338979966757,1663.1978452467563,-91.43961085373125,944.1969046355911,0.6294161992671946
2012,P40-60,2528,165635.93482261582,60688.99786580167,18999.9236640936,937.2399050290755,18062.683759064523,0.29762698996950926,10378.88620228723,1525.3827954120898,5492.663060840805,-221.40220511858382,1824.3938106720555,0.4163036392892686
2012,P60-80,2581,392945.5017597166,72373.44372871821,47802.018715861275,1117.6865974442792,46684.33211841699,0.6450478202116058,27876.304755538255,4830.5103318261645,13960.697966495723,-458.1874390282627,1592.6931010293904,0.20789412123580336
2012,P80-90,1376,751660.9293100281,88623.75091673144,110084.66681735867,1368.6453692345976,108716.02144812407,1.2267142873502477,62760.437452760445,14738.756948262688,31912.86002610647,-992.0755595895951,1664.6879498186604,0.1254207070169643
2012,P90-95,773,1209500.9226756785,102082.928131203,221513.1438960994,1576.499814321243,219936.64408177818,2.1544899632885004,118062.09962117317,48150.09895024186,55071.38936883701,-1474.2284719555134,1703.7844278028738,0.08359055205427313
2012,P95-99,733,2348433.0104973475,133280.73366941864,604503.8383310589,2058.2976578844086,602445.5406731743,4.520124732862315,215545.62487378734,290213.35995713837,98633.38998913397,-2432.6956519173177,2544.159162916461,0.06555122257647314
