year,age_band,n,w_sum,mean_nw,median_nw,mean_inc,mean_STK,mean_BND,mean_LIQ,mean_BUS,mean_HOUS,mean_DBT,debt_asset,mean_IG,mean_IT,mean_NIG,nig_over_inc
2012,65+,3181,3018176.555,544010.3593929573,305700,48718.2111779044,84224.77325442732,34386.86289258195,99723.4431360376,33615.81732882366,293959.11032426165,23974.906084788698,0.04221043668205517,74943.91747810646,752.3711582539642,74191.5463198525,1.5228709044535125
2016,<35,2123,3429897.2225,148744.64965880464,20450,51338.10336740564,9734.453693438832,4395.298759339727,24223.668692756535,15457.783161621921,182916.24672700377,101401.00456395987,0.40536784410277343,16002.244734776821,803.8747739179234,15198.369960858898,0.2960446328157164
2016,35-44,1949,2683714.6423,365884.1220594541,135500,81047.64163370419,34607.58045635239,17265.422298198147,39162.0246056392,64865.151820656254,356815.1799641138,169707.60277049502,0.3168600165067475,60413.21780409714,1269.0798904004637,59144.137913696686,0.7297453290621255
2016,45-54,2314,2878483.4742,581583.6192811759,260000,85289.75143386808,60331.19468232852,32569.53571827696,68625.5434803586,89443.58332599876,455162.74114259944,149978.496319046,0.20501129449000205,92446.01745185429,1335.50472561763,91110.51272623664,1.0682469018201075
2016,55-64,2622,2830036.4808,790784.4653741184,363800,84988.95122180063,114402.08920388958,40704.88199071766,126662.48905068333,104571.97714160032,481443.3815443581,107709.77859295465,0.11987809528683176,129542.70422852687,1330.7946625921284,128211.90956593474,1.5085714992685653
2016,65+,3421,3527256.4431,668835.2440516046,357500,52895.15437105348,102110.0047724568,40508.70792496786,123992.5679538017,46385.41157320584,363517.22189522214,32500.52561118314,0.04634089264662753,93069.4391899932,828.255768567811,92241.18342142538,1.7438494039428258
2019,<35,1754,3284112.0247,195438.9918090939,37200,60625.03368106483,12864.859028019124,8035.416970804147,29606.882643897254,36250.65965208471,201225.9469391967,107085.06101056814,0.3539720561472272,16555.229122005254,273.3374292258826,16281.891692779373,0.268567136447872
2019,35-44,1634,2821381.6192,396174.5599360247,154125,85726.57681441327,32705.660518559154,18334.762617153716,45431.93923344241,71666.15777593317,386343.9399592371,182772.77581014216,0.3156984487623187,35414.302929541955,386.5116553346434,35027.79127420731,0.4085989733386632
2019,45-54,1853,2777392.5674,712391.3075903289,310400,96930.87411879905,79954.28215670616,43434.41367035576,75517.39659175226,115069.99173580635,549383.4956067979,180221.30709911938,0.2019031594818103,68090.20106035387,437.0279789638347,67653.17308139002,0.6979527802305165
2019,55-64,2224,3020388.5783,787195.9166153785,393000,83874.47194613585,97731.41467420405,46063.16157005162,138416.3321834406,87249.68596109559,478532.88526781474,92703.24844527207,0.10535667281702912,65309.56379896435,378.16115138251433,64931.40264758184,0.7741497638194463
2019,65+,2957,4011094.2098,744227.0416478127,363750,54205.83625179205,110981.01238265626,40043.61978485329,139469.52318668767,61933.36448204471,393809.9344914928,29583.656731778745,0.038231129129810165,59891.6300400043,244.395475440893,59647.234564563405,1.1003839934780355
2023,<35,1634,3225475.676,414448.04880244925,118400,100006.746269313,28534.37851328005,9923.534082243023,50296.2878307126,68624.11241286865,347298.9233921493,138049.49033251478,0.24986444382839518,56818.532840449014,3735.1815696236354,53083.35127082538,0.5307977036656573
2023,35-44,2219,3097228.4738,636520.386230589,291025,129436.88043297961,51030.42952226685,26100.51002256779,59239.86145186015,122661.96687186643,542747.2757666245,231268.2229126217,0.2665029483861958,106321.59140303209,4834.37636217944,101487.21504085265,0.7840672202649471
2023,45-54,2496,2724312.5443,933570.2097291141,477650,115488.34101201365,113516.4747151701,53702.19975426419,98020.52016801447,131539.3292453831,683482.587679655,220687.30387826447,0.19119416705251044,153960.51987306005,4313.4082344087665,149647.11163865132,1.2957767886117986
2023,55-64,3648,3080671.6265,1069596.874024354,568850,92014.85238888054,159655.90206299257,57645.204345937935,163186.87828321144,109299.57577920891,649324.7101003065,126082.95478085695,0.10544875956203591,161914.53567196845,3436.6899593857465,158477.8457125827,1.7223072319108979
2023,65+,6244,4723233.6846,1004317.7693919321,552005,65997.2391251295,165249.6069394121,57381.61512927436,170472.58413370766,65862.08294543007,524690.7113524094,37769.683685024655,0.03624425529114917,139290.29259653072,2464.9504200685064,136825.34217646223,2.073197969949076
